price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury
0.96,2.0,2.0,2,low floor,Relatively New,sector 81,flat,1075.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.29,2.0,2.0,1,low floor,Relatively New,sohna road,flat,519.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
1.35,3.0,3.0,3,low floor,Relatively New,sector 79,flat,1945.0,0,0,0,0,0,2,[],low
0.95,2.0,2.0,3+,low floor,Under Construction,sector 33,flat,1108.0,0,0,0,0,0,2,[],low
0.7,2.0,2.0,3,high floor,New Property,sector 90,flat,1040.0,1,0,0,0,0,2,"['Intercom Facility', 'Lift(s)', 'Park']",low
3.95,4.0,5.0,3,high floor,Relatively New,sector 108,flat,2300.0,0,0,0,0,0,2,"['Swimming Pool', 'Volley Ball Court', 'Aerobics Centre', 'Card Room', 'Barbecue', 'Sauna', 'Steam Room', 'Creche/Day care', 'Skating Rink']",semi_luxrious
0.9,1.0,1.0,0,groundfloor,Relatively New,sector 62,flat,639.023,0,0,0,0,0,2,[],low
1.05,2.0,2.0,2,groundfloor,Relatively New,sector 102,flat,915.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
2.2,3.0,3.0,3,high floor,New Property,sector 33,flat,1680.0,0,1,0,0,0,0,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
1.01,2.0,2.0,2,low floor,New Property,sector 89,flat,1103.0,1,0,0,0,0,2,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
1.85,3.0,4.0,3+,high floor,New Property,sector 79,flat,1720.0,0,1,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.86,2.0,3.0,3,low floor,Under Construction,sector 89,flat,882.4000000000001,0,0,0,0,0,2,"['Swimming Pool', 'Lounge', 'Aerobics Centre', 'Terrace Garden', 'Piped Gas', 'Squash Court', 'Gazebo', 'Wi-Fi Connectivity', 'Sun Deck']",normal
1.85,3.0,3.0,3+,groundfloor,Relatively New,sector 102,flat,2025.0,0,1,0,0,0,0,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
2.85,3.0,3.0,3+,mid floor,New Property,sector 113,flat,1773.6,0,1,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",semi_luxrious
0.42,2.0,2.0,1,low floor,New Property,sector 36,flat,531.0,0,0,0,0,0,2,[],low
6.15,3.0,4.0,2,high floor,Relatively New,sector 65,flat,2200.0,0,0,0,0,0,2,"['Mini Theatre', 'Doctor on Call', 'Beach Volley Ball Court', 'Air Hockey', 'Automated Car Wash', 'Clinic', 'Foosball', 'Concierge Service', 'Car wash area']",normal
6.25,3.0,5.0,3+,mid floor,Moderately Old,sector 48,flat,2880.0,0,1,0,0,0,0,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.42,2.0,2.0,2,low floor,Relatively New,sector 37,flat,750.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
1.35,2.0,2.0,0,low floor,Relatively New,sector 3,flat,912.0,0,0,0,0,0,2,"['Mini Theatre', 'Foosball', 'Swimming Pool', 'Flower Garden', 'Salon', 'ATM', 'Card Room', 'Piped Gas', 'Grocery Shop']",semi_luxrious
1.6,2.0,2.0,2,low floor,Relatively New,sector 2,flat,66.0,0,0,0,0,0,2,[],low
3.25,4.0,4.0,3+,high floor,Moderately Old,sector 43,flat,3000.0,0,0,0,1,0,0,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",luxrious
0.45,2.0,2.0,1,mid floor,New Property,sector 88,flat,625.490229,0,0,0,0,0,2,"['Lift(s)', 'Maintenance Staff', 'Park']",low
0.85,3.0,2.0,2,high floor,Relatively New,sector 92,flat,1300.092,0,0,0,0,0,2,[],low
0.75,2.0,2.0,3,mid floor,Relatively New,sector 90,flat,1300.0,0,0,0,0,0,2,"['Swimming Pool', 'School', 'Sauna', 'Steam Room', 'Billiards', 'Fountain', 'Shopping Centre', 'Lawn Tennis Court', 'Earthquake Resistant']",semi_luxrious
0.82,2.0,2.0,3+,high floor,Under Construction,sector 68,flat,944.0,0,0,0,0,1,2,"['Intercom Facility', 'Lift(s)', 'Feng Shui / Vaastu Compliant', 'Piped-gas', 'Security Personnel', 'Maintenance Staff', 'Internet/wi-fi connectivity', 'Swimming Pool', 'Park', 'Club house / Community Center', 'Fitness Centre / GYM', 'Water softening plant', 'Shopping Centre', 'Rain Water Harvesting']",semi_luxrious
1.8,3.0,3.0,2,groundfloor,Moderately Old,sector 109,flat,1785.0,0,1,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
0.3,2.0,2.0,2,mid floor,New Property,sohna road,flat,555.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
0.78,2.0,2.0,3,low floor,Moderately Old,sector 37,flat,900.0,0,0,0,0,0,0,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
2.0,3.0,3.0,2,low floor,Old Property,sector 43,flat,1320.0,0,1,0,0,0,1,"['Water Storage', 'Park']",low
0.74,2.0,2.0,3+,high floor,New Property,sohna road,flat,1210.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
3.2,3.0,3.0,3+,mid floor,Relatively New,sector 106,flat,2002.0,0,1,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
1.3,4.0,4.0,3+,low floor,Relatively New,sector 82,flat,1568.0,0,1,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",luxrious
0.25,2.0,2.0,2,low floor,Relatively New,sector 3,flat,700.0,0,0,0,0,0,2,[],low
0.95,3.0,2.0,3+,low floor,Relatively New,sohna road,flat,756.5945310000001,0,0,0,0,0,2,"['Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
1.99,4.0,4.0,3+,mid floor,Relatively New,sector 90,flat,2727.0,0,1,0,1,0,0,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
1.05,2.0,2.0,2,mid floor,New Property,sector 106,flat,1385.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
1.83,3.0,3.0,3+,high floor,Relatively New,sector 85,flat,1829.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
2.25,3.0,3.0,3+,high floor,Relatively New,sector 82,flat,2100.0,0,1,0,0,0,1,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
2.8,3.0,3.0,3+,low floor,Relatively New,sector 65,flat,1650.0,1,1,0,0,0,0,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
1.6,2.0,2.0,2,low floor,Relatively New,sector 28,flat,1100.0,0,0,0,0,0,2,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'Maintenance Staff', 'No open drainage around', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",normal
0.83,2.0,2.0,3,mid floor,New Property,sector 79,flat,1530.0,1,0,0,0,0,1,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.83,3.0,2.0,2,low floor,New Property,sohna road,flat,1120.0,0,0,0,0,0,2,"['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",low
0.8,2.0,3.0,2,mid floor,New Property,sector 10,flat,1250.0,0,0,0,0,0,2,"['Intercom Facility', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
1.25,4.0,4.0,3+,mid floor,Moderately Old,sector 1,flat,2651.0,0,0,0,0,0,0,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.23,1.0,1.0,1,low floor,Relatively New,sector 21,flat,460.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Lift(s)']",low
0.3,1.0,1.0,1,high floor,New Property,sector 84,flat,450.0,0,0,0,0,0,0,"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage']",low
1.55,3.0,4.0,1,low floor,Relatively New,sector 33,flat,1256.0,0,1,0,0,0,2,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.79,2.0,2.0,2,mid floor,Relatively New,sector 71,flat,958.4,0,0,0,0,1,2,[],low
0.5,2.0,2.0,2,low floor,Moderately Old,sector 7,flat,750.0,0,0,1,0,0,2,[],low
1.01,2.0,2.0,3,high floor,Relatively New,sohna road,flat,950.0,1,0,0,0,0,2,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
0.95,4.0,5.0,3+,low floor,Moderately Old,sector 92,flat,1517.6,0,1,0,0,0,2,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.99,2.0,2.0,2,low floor,Relatively New,sector 77,flat,1000.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
1.1,3.0,3.0,3+,mid floor,Relatively New,sector 37,flat,1380.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
1.9,4.0,4.0,3,low floor,New Property,sector 67,flat,1760.0,0,0,0,0,0,0,"['High Ceiling Height', 'False Ceiling Lighting', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre']",semi_luxrious
1.0,3.0,3.0,3+,mid floor,Under Construction,sector 37,flat,1500.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM']",normal
2.5,3.0,3.0,3,mid floor,Moderately Old,sector 57,flat,1800.0,0,0,0,0,0,2,"['Swimming Pool', 'School', 'Jacuzzi', 'Shopping Centre', 'Multipurpose Court', 'Community Hall', '24x7 Security', 'Club House', '24/7 Power Backup']",normal
1.1,2.0,2.0,2,high floor,Under Construction,sector 3,flat,845.2675392,0,0,0,0,0,2,"['Mini Theatre', 'Foosball', 'Swimming Pool', 'Flower Garden', 'Salon', 'ATM', 'Card Room', 'Piped Gas', 'Grocery Shop']",semi_luxrious
0.29,2.0,2.0,2,high floor,Relatively New,sector 95,flat,448.0,0,0,0,0,0,2,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']",normal
0.55,2.0,2.0,3,high floor,New Property,sector 95,flat,950.0,0,0,0,0,0,2,[],low
0.65,3.0,2.0,3,mid floor,Relatively New,sector 92,flat,1096.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.5,2.0,2.0,2,mid floor,New Property,sohna road,flat,531.521382,0,0,0,0,0,2,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.32,2.0,2.0,1,low floor,New Property,sector 99,flat,575.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",normal
0.93,2.0,3.0,3,low floor,Relatively New,sector 103,flat,1452.0,0,1,0,0,0,0,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
1.2,3.0,3.0,2,low floor,New Property,sector 89,flat,1423.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.3,2.0,2.0,2,low floor,Relatively New,sohna road,flat,640.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",normal
0.56,2.0,2.0,3,low floor,New Property,sohna road,flat,822.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",luxrious
2.7,3.0,4.0,3+,mid floor,Moderately Old,sector 49,flat,1727.2,0,0,0,0,0,2,[],low
1.0,3.0,4.0,3,mid floor,New Property,sector 90,flat,1560.0,0,1,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
1.45,3.0,2.0,2,low floor,Old Property,sector 30,flat,1090.0,0,0,0,0,0,1,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'Recently Renovated', 'Piped-gas', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
1.25,3.0,3.0,0,low floor,New Property,sector 89,flat,1190.0,0,0,0,0,0,2,"['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Solar Lighting', 'Aerobics Centre', 'Restaurant', 'Terrace Garden', 'Piped Gas', 'Theatre']",semi_luxrious
4.5,5.0,5.0,3+,high floor,New Property,sector 66,flat,2936.0,0,1,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
0.64,2.0,2.0,1,low floor,New Property,sector 15,flat,800.0,0,0,0,0,0,2,[],low
0.28,2.0,2.0,1,high floor,Relatively New,sohna road,flat,643.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']",normal
3.87,3.0,4.0,3+,high floor,New Property,sector 61,flat,1249.68879,0,1,0,0,0,2,"['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Club house / Community Center']",semi_luxrious
1.38,3.0,3.0,1,low floor,Moderately Old,sector 109,flat,2177.0,0,0,0,0,0,2,"['Maintenance Staff', 'Water Storage', 'Visitor Parking']",low
0.43,2.0,2.0,1,low floor,Relatively New,sector 4,flat,650.0,0,0,0,0,0,2,"['Lift(s)', 'Water Storage']",low
0.29,2.0,1.0,1,low floor,Relatively New,sector 2,flat,900.0,0,0,0,0,1,2,"['Water Storage', 'Park']",low
1.1,2.0,2.0,2,low floor,Relatively New,sector 37,flat,1118.0,0,0,0,0,0,2,"['Swimming Pool', 'Reflexology Park', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool', 'Basketball Court']",semi_luxrious
2.0,2.0,2.0,2,high floor,Relatively New,sector 65,flat,1000.0,0,0,0,0,0,2,"['Bus Shelter', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Reflexology Park', 'Aerobics Centre', 'Restaurant', 'Terrace Garden', 'High Speed Elevators']",normal
0.9,3.0,2.0,2,low floor,Relatively New,sohna road,flat,896.0,0,0,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",luxrious
0.9,3.0,2.0,0,low floor,Relatively New,sohna road,flat,1119.96,0,0,0,0,0,2,"['Swimming Pool', 'Gazebo', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Jogging Track', 'Gymnasium']",semi_luxrious
1.75,3.0,3.0,0,low floor,New Property,sector 33,flat,1995.894,0,0,0,0,0,2,"['Natural Pond', 'Swimming Pool', 'Skating Rink', 'Gazebo', 'Cafeteria', 'Billiards', 'Fountain', 'Shopping Centre', 'Cricket Pitch']",normal
0.93,2.0,2.0,2,high floor,New Property,sector 68,flat,1080.0,0,0,0,0,0,2,[],low
1.8,4.0,4.0,3+,high floor,Moderately Old,sector 90,flat,2181.6,0,0,0,0,0,2,"['Swimming Pool', 'Sauna', 'Piped Gas', 'Grocery Shop', 'Squash Court', 'Fountain', 'Lawn Tennis Court', 'Video Door Security', 'Earthquake Resistant']",semi_luxrious
2.1,3.0,3.0,2,mid floor,Under Construction,sector 33,flat,1431.2,0,0,0,0,0,2,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",low
2.0,2.0,2.0,2,mid floor,Relatively New,sector 22,flat,1380.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
2.0,3.0,3.0,2,low floor,Relatively New,sector 63,flat,1562.5,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Park', 'Visitor Parking']",normal
1.29,3.0,3.0,3,mid floor,New Property,sector 88,flat,1629.0,1,0,0,0,1,2,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",semi_luxrious
