PropertyName,TopFacilities
Ireo Skyon,SwimmingPool GolfCourse ChangingArea School Restaurant HighSpeedElevators PipedGas SteamRoom SquashCourt
AIPL The Peaceful Homes,AutomatedCarWash ConciergeService SwimmingPool Football Bar/Chill-OutLounge ReadingLounge GolfCourse VolleyBallCourt Salon
Adani M2K Oyster Grande,SwimmingPool ChangingArea School Salon ATM AerobicsCentre CardRoom SolarWaterHeating WaitingLounge
G99,MilkBooth ManicuredGarden SwimmingPool Football FlowerGarden School Restaurant Pergola SkatingRink
Emaar MGF Emerald Floors Premier,Clinic SwimmingPool School PipedGas Creche/Daycare Theatre ShoppingCentre LawnTennisCourt JoggingTrack
ROF Insignia Park,SwimmingPool SkatingRink GroceryShop Gazebo CricketPitch LawnTennisCourt Amphitheatre BasketballCourt BadmintonCourt
DLF The Ultima,MiniTheatre SwimmingPool TheaterHome Football Bar/Chill-OutLounge FlowerGarden ReadingLounge GolfCourse ChangingArea
Indiabulls Enigma,SwimmingPool AerobicsCentre Barbecue Restaurant Pergola Spa PoolTable Cafeteria SunDeck
Experion The Westerlies,SwimmingPool ReflexologyPark Barbecue TerraceGarden Gazebo Fountain SunDeck Amphitheatre PowerBackupLift
Hero Homes,SwimmingPool Bar/Chill-OutLounge ReadingLounge ReflexologyPark CardRoom Barbecue Restaurant Sauna Spa
Central Park Flower Valley Mikasa Plots,BowlingAlley ConciergeService SwimmingPool Lounge MedicalCentre Laundry FlowerGarden ReflexologyPark GolfCourse
M3M Skywalk,ConciergeService SwimmingPool Lounge GolfCourse ChangingArea AerobicsCentre Restaurant HighSpeedElevators WaitingLounge
Ireo The Grand Arch,BowlingAlley SwimmingPool Football Restaurant WaitingLounge PipedGas WaterSoftenerPlant Creche/Daycare SquashCourt
JMS The Nation,Yoga/MeditationArea GatedCommunity Children'sPlayArea
Imperia The Esfera,FoodCourt SwimmingPool ReadingLounge AerobicsCentre Restaurant WaterSoftenerPlant PropertyStaff BanquetHall Library
Ramprastha Primera,SwimmingPool WaterSoftenerPlant Theatre ShoppingCentre VideoDoorSecurity MultipurposeCourt VastuCompliant MultipurposeHall Yoga/MeditationArea
Experion The Heartsong,ManicuredGarden BusShelter Clinic NaturalPond Carwasharea SwimmingPool Bar/Chill-OutLounge MedicalCentre ReadingLounge
DLF New Town Heights 2,SwimmingPool Pergola PipedGas GroceryShop Cafeteria Fountain SunDeck LawnTennisCourt MultipurposeCourt
DLF The Primus,SwimmingPool School AerobicsCentre Restaurant Pergola WaitingLounge Sauna SteamRoom SquashCourt
DLF The Skycourt,SwimmingPool FlowerGarden School SolarLighting CardRoom SolarWaterHeating Restaurant TerraceGarden PipedGas
Central Park Resorts,SwimmingPool GolfCourse ATM Restaurant WaitingLounge Cafeteria ShoppingCentre VideoDoorSecurity MultipurposeCourt
Suncity Avenue 76,School HighSpeedElevators Creche/Daycare ShoppingCentre CricketPitch Amphitheatre EarthquakeResistant PowerBackupLift PartyLawn
International City by Sobha Phase 1,InfinityPool SwimmingPool Salon AerobicsCentre CardRoom Restaurant TerraceGarden Pergola Sauna
Ambience Creacions,DoctoronCall BusShelter FoodCourt SwimmingPool Football Bar/Chill-OutLounge BusinessLounge MedicalCentre FlowerGarden
Vatika Xpressions,SwimmingPool ATM Creche/Daycare GroceryShop PropertyStaff Billiards LawnTennisCourt VideoDoorSecurity MultipurposeCourt
M3M Sierra 68,SwimmingPool Restaurant HighSpeedElevators PipedGas PropertyStaff Cafeteria Fountain SunDeck LawnTennisCourt
Anand Niketan,ManicuredGarden SwimmingPool GroceryShop Gazebo Fountain CricketPitch BasketballCourt Yoga/MeditationArea CCTVCameraSecurity
DLF The Belaire,Clinic SwimmingPool TheaterHome School AerobicsCentre CardRoom Restaurant Pergola HighSpeedElevators
Godrej Aria,SwimmingPool School Spa SquashCourt PropertyStaff Library CricketPitch LawnTennisCourt MultipurposeCourt
Ansals Shiva Som Valley,Yoga/MeditationArea SewageTreatmentPlant CCTVCameraSecurity JoggingTrack 24x7Security Gymnasium 24/7WaterSupply LandscapeGarden Children'sPlayArea
Vipul World,SwimmingPool School Wi-FiConnectivity PropertyStaff Amphitheatre Yoga/MeditationArea RainWaterHarvesting ClubHouse 24/7PowerBackup
Central Park Flower Valley Aqua Front Towers,DoctoronCall SwimmingPool GolfCourse Restaurant Sauna Jacuzzi Spa GroceryShop Gazebo
Tulip Violet,BusShelter SwimmingPool Lounge GolfCourse ChangingArea Gazebo Cafeteria Fountain VideoDoorSecurity
Eldeco Accolade,ValetParking SwimmingPool Football Laundry FlowerGarden School ATM CardRoom Jacuzzi
M3M Natura,SwimmingPool Football Bar/Chill-OutLounge Salon TerraceGarden HighSpeedElevators Spa Cafeteria SunDeck
Emaar Imperial Gardens,SwimmingPool School Pergola Wi-FiConnectivity PropertyStaff Cafeteria ShoppingCentre Library SunDeck
Ireo City Plots,SwimmingPool Salon BanquetHall LawnTennisCourt Amphitheatre JoggingTrack 24x7Security ClubHouse 24/7PowerBackup
Parsvnath Exotica,SwimmingPool GolfCourse CardRoom PipedGas SquashCourt Billiards VideoDoorSecurity BasketballCourt EntranceLobby
Pioneer Urban Presidia,SwimmingPool Football Bar/Chill-OutLounge ReadingLounge GolfCourse Restaurant TerraceGarden Spa SkatingRink
Suncity Platinum Towers,MiniTheatre AutomatedCarWash SwimmingPool BusinessLounge Salon CardRoom WaitingLounge Sauna SteamRoom
Godrej Nature Plus,NaturalPond SwimmingPool SkatingRink Gazebo Cafeteria Billiards Fountain ShoppingCentre CricketPitch
Bestech Park View Grand Spa,AutomatedCarWash AcupressurePark SwimmingPool GolfCourse Salon CardRoom Restaurant HighSpeedElevators WaitingLounge
Shree Vardhman Victoria,BusShelter SwimmingPool School CardRoom Pergola HighSpeedElevators Sauna SteamRoom WaterSoftenerPlant
Silverglades The Melia,SwimmingPool Football Bar/Chill-OutLounge Laundry ReadingLounge GolfCourse Conferenceroom CardRoom Restaurant
Shree Vardhman Flora,SwimmingPool School Sauna SteamRoom Billiards Fountain ShoppingCentre LawnTennisCourt EarthquakeResistant
Vatika Seven Elements,ValetParking FoodCourt SwimmingPool BusinessLounge School Restaurant Pergola GroceryShop SquashCourt
Bellavista Central Park Resorts,MiniTheatre InfinityPool Lounge Restaurant HighSpeedElevators Sauna Jacuzzi Spa WaterSoftenerPlant
M3M Heights,BusShelter InfinityPool SwimmingPool Bar/Chill-OutLounge ReflexologyPark AerobicsCentre Restaurant TerraceGarden HighSpeedElevators
Godrej Habitat,MiniTheatre Foosball SwimmingPool FlowerGarden Salon ATM CardRoom PipedGas GroceryShop
Adani Brahma Samsara,SwimmingPool School Restaurant Spa SkatingRink Theatre PoolTable Billiards ShoppingCentre
DLF The Grove,SwimmingPool ATM Creche/Daycare Wi-FiConnectivity Cafeteria CommunityHall EntranceLobby SewageTreatmentPlant CCTVCameraSecurity
Corona Optus,SwimmingPool School PipedGas SkatingRink GroceryShop LawnTennisCourt MultipurposeCourt Amphitheatre EarthquakeResistant
Central Park Flower Valley Flamingo Floors,SwimmingPool MedicalCentre GolfCourse School Restaurant Sauna Jacuzzi SteamRoom Creche/Daycare
ROF Insignia Park 2,ReflexologyPark GolfCourse SkatingRink Gazebo CricketPitch Amphitheatre BasketballCourt BadmintonCourt Yoga/MeditationArea
Indiabulls Centrum Park,MilkBooth Clinic SwimmingPool BusinessLounge MedicalCentre ReadingLounge School Salon ATM
BPTP Fortuna,Gazebo SewageTreatmentPlant CCTVCameraSecurity ClubHouse 24/7PowerBackup GatedCommunity Gymnasium 24/7WaterSupply LandscapeGarden
Bestech Park View Spa Next,SwimmingPool School PipedGas SkatingRink GroceryShop ShoppingCentre CricketPitch LawnTennisCourt Amphitheatre
DLF The Pinnacle,SwimmingPool SunDeck LawnTennisCourt EarthquakeResistant PartyLawn VastuCompliant BasketballCourt BadmintonCourt EntranceLobby
Godrej Oasis,BusShelter ConciergeService SwimmingPool GroceryShop ShoppingCentre SunDeck LawnTennisCourt ToddlerPool TableTennis
Anant Raj Estate Plots,SwimmingPool Restaurant Spa ShoppingCentre Yoga/MeditationArea SewageTreatmentPlant RainWaterHarvesting ClubHouse 24/7PowerBackup
Mapsko The Icon 79,MiniTheatre SwimmingPool Bar/Chill-OutLounge BusinessLounge Spa SteamRoom SquashCourt Cafeteria Billiards
DLF Regal Gardens,SwimmingPool School CardRoom SolarWaterHeating WaitingLounge Theatre Gazebo PoolTable Billiards
DLF The Icon,SwimmingPool Restaurant SkatingRink Wi-FiConnectivity PropertyStaff LawnTennisCourt VideoDoorSecurity MultipurposeCourt PowerBackupLift
Vatika Sovereign Park,SwimmingPool TerraceGarden HighSpeedElevators Sauna PipedGas Spa SteamRoom PoolTable ShoppingCentre
Vatika Sovereign Next,SwimmingPool Barbecue Pergola Sauna SteamRoom Gazebo PropertyStaff SunDeck EarthquakeResistant
Central Park Flower Valley The Room,SwimmingPool Laundry ATM Restaurant Creche/Daycare Theatre Wi-FiConnectivity PropertyStaff Cafeteria
M3M Sky Lofts,BowlingAlley SwimmingPool Lounge Bar/Chill-OutLounge GolfCourse Conferenceroom Restaurant Spa Theatre
Golden Park,SwimmingPool VolleyBallCourt Pergola SkatingRink Fountain CricketPitch SunDeck LawnTennisCourt BasketballCourt
Ireo Savannah,MultipurposeCourt BasketballCourt BadmintonCourt Yoga/MeditationArea SewageTreatmentPlant CCTVCameraSecurity JoggingTrack RainWaterHarvesting 24x7Security
Satya Merano Greens,SwimmingPool CardRoom Cafeteria ShoppingCentre CricketPitch SunDeck Amphitheatre ToddlerPool PartyLawn
ATS Kocoon,SwimmingPool Laundry ChangingArea School Salon VisitorsParking Creche/Daycare SquashCourt Wi-FiConnectivity
Paras Quartier,MiniTheatre SwimmingPool BusinessLounge VolleyBallCourt ROSystem AerobicsCentre CardRoom Spa SteamRoom
Ashiana Amarah,SwimmingPool FlowerGarden Library LawnTennisCourt Amphitheatre BasketballCourt BadmintonCourt EntranceLobby Yoga/MeditationArea
JMS Prime Land,ReflexologyPark VolleyBallCourt SkatingRink CricketPitch Amphitheatre PartyLawn CommunityHall BasketballCourt BadmintonCourt
India Rashtra,SwimmingPool CCTVCameraSecurity 24x7Security ClubHouse GatedCommunity LandscapeGarden CarParking SecurityCabin
Vipul Tatvam Villa,SwimmingPool Bar/Chill-OutLounge Pergola Wi-FiConnectivity PropertyStaff Cafeteria Fountain LawnTennisCourt MultipurposeCourt
Orris Woodview Residencies,EarthquakeResistant VastuCompliant Yoga/MeditationArea IndoorGames SewageTreatmentPlant CCTVCameraSecurity JoggingTrack RainWaterHarvesting 24x7Security
Emaar MGF Palm Hills,SwimmingPool BusinessLounge Salon ATM HighSpeedElevators Spa Creche/Daycare GroceryShop Cafeteria
Vatika City,SwimmingPool Bar/Chill-OutLounge CardRoom Restaurant Creche/Daycare GroceryShop Cafeteria BanquetHall ShoppingCentre
DLF New Town Heights 1,SwimmingPool MedicalCentre ChangingArea Sauna GroceryShop SquashCourt Cafeteria ShoppingCentre Library
Vatika Gurgaon 21,SwimmingPool FlowerGarden School ROSystem GroceryShop PoolTable PropertyStaff Billiards ShoppingCentre
Signature The Roselia,SwimmingPool Creche/Daycare SunDeck 24x7Security 24/7PowerBackup GatedCommunity 24/7WaterSupply LandscapeGarden Children'sPlayArea
Vatika Independent Floors,SwimmingPool School SolarLighting PipedGas PropertyStaff CommunityHall CCTVCameraSecurity JoggingTrack RainWaterHarvesting
Adani Tatva Estates,Pergola WaterSoftenerPlant SkatingRink Fountain CricketPitch MultipurposeCourt Amphitheatre BasketballCourt BadmintonCourt
Emaar Palm Gardens,SwimmingPool GolfCourse School Salon AerobicsCentre CardRoom Restaurant WaitingLounge Spa
Pareena Mi Casa,MiniTheatre NaturalPond SwimmingPool Bar/Chill-OutLounge FlowerGarden School VolleyBallCourt ROSystem VisitorsParking
The Close North,SwimmingPool Lounge BusinessLounge Jacuzzi SteamRoom SquashCourt PropertyStaff BanquetHall Fountain
Emaar The Palm Springs,MiniTheatre SwimmingPool Lounge Bar/Chill-OutLounge MedicalCentre CigarLounge ChangingArea ROSystem AerobicsCentre
BPTP Park Serene,SwimmingPool GolfCourse VisitorsParking PropertyStaff Fountain LawnTennisCourt PowerBackupLift ToddlerPool VastuCompliant
Orchid IVY Floors,Lounge EntranceLobby CCTVCameraSecurity 24x7Security 24/7PowerBackup GatedCommunity Gymnasium 24/7WaterSupply LandscapeGarden
ILD Greens,SwimmingPool School AerobicsCentre Barbecue TerraceGarden Sauna WaterSoftenerPlant GroceryShop SquashCourt
Godrej Icon,InfinityPool SwimmingPool ReflexologyPark Barbecue SolarWaterHeating Spa SquashCourt Gazebo Billiards
Orris Aster Court Premier,MiniTheatre SwimmingPool CardRoom Cafeteria Billiards BanquetHall Library BadmintonCourt Gymnasium
M3M Latitude,InfinityPool SwimmingPool TerraceGarden HighSpeedElevators WaitingLounge Sauna Jacuzzi Spa SteamRoom
Emaar MGF Emerald Estate,SwimmingPool School PipedGas Creche/Daycare GroceryShop ShoppingCentre ToddlerPool JoggingTrack 24x7Security
Green Court,FoodCourt ATM Restaurant Creche/Daycare GroceryShop Fountain ShoppingCentre EarthquakeResistant CommunityHall
TARC Maceo,ConciergeService NaturalPond SwimmingPool Football Bar/Chill-OutLounge ReflexologyPark ChangingArea School SolarLighting
Raheja Vanya,SwimmingPool CardRoom Sauna Spa Theatre Library CricketPitch LawnTennisCourt CommunityHall
Paras Ekam Homes,ReadingLounge Pergola SkatingRink Gazebo CricketPitch Amphitheatre PartyLawn TableTennis BadmintonCourt
Landmark The Homes 81,SwimmingPool VisitorsParking HighSpeedElevators Creche/Daycare GroceryShop ShoppingCentre SunDeck LawnTennisCourt EarthquakeResistant
ROF Normanton Park,ReadingLounge ReflexologyPark Wi-FiConnectivity GatedCommunity SeniorCitizenSitout
Corona Greens,Pergola SkatingRink Gazebo MultipurposeCourt PartyLawn Yoga/MeditationArea SewageTreatmentPlant JoggingTrack Gymnasium
Umang Winter Hills,SwimmingPool Laundry VolleyBallCourt ATM VisitorsParking Restaurant Creche/Daycare SkatingRink GroceryShop
Puri Diplomatic Greens,AirHockey Foosball SwimmingPool Bar/Chill-OutLounge TerraceGarden Pergola WaitingLounge PoolTable Billiards
Silverglades Hightown Residences,MiniTheatre Carwasharea SwimmingPool TheaterHome Lounge Bar/Chill-OutLounge BusinessLounge MedicalCentre FlowerGarden
Pioneer Park,SwimmingPool PipedGas WaterSoftenerPlant EarthquakeResistant EntranceLobby JoggingTrack ClubHouse 24/7PowerBackup Gymnasium
Anant Raj Ashok Estate,GatedCommunity
Paras Dews,SwimmingPool Lounge ReflexologyPark School AerobicsCentre CardRoom Sauna Jacuzzi Spa
Ireo The Corridors,SwimmingPool Football Bar/Chill-OutLounge MedicalCentre ReadingLounge School SolarLighting AerobicsCentre CardRoom
Assotech Blith,SwimmingPool Lounge MedicalCentre Conferenceroom Salon CardRoom VisitorsParking Restaurant TerraceGarden
Bestech Park View Sanskruti,ValetParking SwimmingPool ReadingLounge School CardRoom Restaurant Sauna SteamRoom GroceryShop
Signature Global the Millennia,SkatingRink GroceryShop Gazebo Fountain ShoppingCentre CricketPitch MultipurposeCourt Amphitheatre EarthquakeResistant
Orchid Island,PropertyStaff Fountain PowerBackupLift BadmintonCourt 24x7Security ClubHouse 24/7PowerBackup GatedCommunity 24/7WaterSupply
Ramprastha The Edge Towers,Temple SwimmingPool Bar/Chill-OutLounge School Restaurant Sauna PipedGas Spa SquashCourt
Pyramid Spring Valley,BasketballCourt BadmintonCourt Yoga/MeditationArea JoggingTrack RainWaterHarvesting 24/7PowerBackup LandscapeGarden Children'sPlayArea Lift(s)
Bestech Park View Ananda,SwimmingPool VisitorsParking Restaurant TerraceGarden PipedGas WaterSoftenerPlant SkatingRink SquashCourt Gazebo
Mapsko Casa Bella,SwimmingPool Pergola Sauna Spa GroceryShop SquashCourt Gazebo Fountain ShoppingCentre
Mahindra Aura,SwimmingPool GolfCourse Pergola SkatingRink Fountain CricketPitch SunDeck MultipurposeCourt Amphitheatre
Godrej Air,MiniTheatre SwimmingPool FlowerGarden School TerraceGarden Pergola Creche/Daycare SkatingRink GroceryShop
Conscient Habitat,Creche/Daycare ShoppingCentre EarthquakeResistant CommunityHall GatedCommunity LandscapeGarden Children'sPlayArea Lift(s) CarParking
Conscient Heritage Max,SwimmingPool Football VolleyBallCourt CardRoom TerraceGarden GroceryShop SquashCourt PoolTable Cafeteria
Vipul Belmonte,SwimmingPool ATM WaterSoftenerPlant GroceryShop Wi-FiConnectivity PoolTable PropertyStaff Cafeteria Billiards
Unitech The Residences,ManicuredGarden SwimmingPool School ShoppingCentre LawnTennisCourt BadmintonCourt JoggingTrack ClubHouse 24/7PowerBackup
ILD Grand,ManicuredGarden SwimmingPool School Salon Spa GroceryShop Billiards LawnTennisCourt BasketballCourt
Signature Global Solera 2,Pergola Creche/Daycare Amphitheatre CommunityHall BadmintonCourt JoggingTrack 24x7Security ClubHouse 24/7PowerBackup
Signature Global Solera,JoggingTrack 24/7PowerBackup GatedCommunity Gymnasium 24/7WaterSupply LandscapeGarden Children'sPlayArea Lift(s) CarParking
